            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457050.500000000, A.D. 2015-Jan-28 00:00:00.0000,  2.337447064711199E+08, -4.764319174261924E+06,  3.640702992565683E+07, -4.546768095092968E+00,  2.213219066964615E+01,  1.669594210692625E+00,  7.892492922824104E+02,  2.366109853081042E+08, -4.680437074048454E+00,
2457051.500000000, A.D. 2015-Jan-29 00:00:00.0000,  2.333431149736235E+08, -2.851943615971863E+06,  3.654991723810346E+07, -4.749447100772390E+00,  2.213548830310360E+01,  1.637934649196415E+00,  7.878967467056372E+02,  2.362055023450863E+08, -4.705705661148000E+00,
2457052.500000000, A.D. 2015-Jan-30 00:00:00.0000,  2.329239821037105E+08, -9.393543494119588E+05,  3.669005675742302E+07, -4.952817362606105E+00,  2.213713475207663E+01,  1.605987740462084E+00,  7.865369508860855E+02,  2.357978458139648E+08, -4.730750492412468E+00,
2457053.500000000, A.D. 2015-Jan-31 00:00:00.0000,  2.324872484045194E+08,  9.733052168222349E+05,  3.682742361871408E+07, -5.156872645989970E+00,  2.213711270967158E+01,  1.573752605136316E+00,  7.851699698821205E+02,  2.353880352187468E+08, -4.755567587164577E+00,
2457054.500000000, A.D. 2015-Feb-01 00:00:00.0000,  2.320328549679437E+08,  2.885890170407545E+06,  3.696199288178479E+07, -5.361606481735834E+00,  2.213540467425686E+01,  1.541228379898896E+00,  7.837958699086412E+02,  2.349760904101598E+08, -4.780152899968303E+00,
2457055.500000000, A.D. 2015-Feb-02 00:00:00.0000,  2.315607434551938E+08,  4.798254078466374E+06,  3.709373953258027E+07, -5.567012159268081E+00,  2.213199294945640E+01,  1.508414218445298E+00,  7.824147183558983E+02,  2.345620315912925E+08, -4.804502319571003E+00,
2457056.500000000, A.D. 2015-Feb-03 00:00:00.0000,  2.310708561179475E+08,  6.710248970744985E+06,  3.722263848469679E+07, -5.773082719778040E+00,  2.212685964426436E+01,  1.475309292512057E+00,  7.810265838086058E+02,  2.341458793233249E+08, -4.828611667923468E+00,
2457057.500000000, A.D. 2015-Feb-04 00:00:00.0000,  2.305631358200960E+08,  8.621725322806358E+06,  3.734866458098628E+07, -5.979810949332010E+00,  2.211998667326509E+01,  1.441912792943940E+00,  7.796315360653239E+02,  2.337276545313391E+08, -4.852476699275379E+00,
2457058.500000000, A.D. 2015-Feb-05 00:00:00.0000,  2.300375260600855E+08,  1.053253203924574E+07,  3.747179259525482E+07, -6.187189371910691E+00,  2.211135575693805E+01,  1.408223930799899E+00,  7.782296461580930E+02,  2.333073785102050E+08, -4.876093099327806E+00,
2457059.500000000, A.D. 2015-Feb-06 00:00:00.0000,  2.294939709938658E+08,  1.244251643693597E+07,  3.759199723405828E+07, -6.395210242365358E+00,  2.210094842204056E+01,  1.374241938496583E+00,  7.768209863723071E+02,  2.328850729305384E+08, -4.899456484432512E+00,
2457060.500000000, A.D. 2015-Feb-07 00:00:00.0000,  2.289324154584508E+08,  1.435152422830919E+07,  3.770925313859832E+07, -6.603865539270391E+00,  2.208874600206739E+01,  1.339966070987996E+00,  7.754056302668096E+02,  2.324607598447260E+08, -4.922562400822764E+00,
2457061.500000000, A.D. 2015-Feb-08 00:00:00.0000,  2.283528049961019E+08,  1.625939950468172E+07,  3.782353488672184E+07, -6.813146957657255E+00,  2.207472963779156E+01,  1.305395606980977E+00,  7.739836526942112E+02,  2.320344616930159E+08, -4.945406323865565E+00,
2457062.500000000, A.D. 2015-Feb-09 00:00:00.0000,  2.277550858791446E+08,  1.816598471962938E+07,  3.793481699502711E+07, -7.023045901616367E+00,  2.205888027789364E+01,  1.270529850186279E+00,  7.725551298214198E+02,  2.316062013096725E+08, -4.967983657326502E+00,
2457063.500000000, A.D. 2015-Feb-10 00:00:00.0000,  2.271392051354307E+08,  2.007112067242144E+07,  3.804307392107929E+07, -7.233553476757034E+00,  2.204117867968959E+01,  1.235368130605768E+00,  7.711201391503795E+02,  2.311760019291943E+08, -4.990289732641589E+00,
2457064.500000000, A.D. 2015-Feb-11 00:00:00.0000,  2.265051105744578E+08,  2.197464649152203E+07,  3.814828006573909E+07, -7.444660482517573E+00,  2.202160540996777E+01,  1.199909805856267E+00,  7.696787595390226E+02,  2.307438871925945E+08, -5.012319808192067E+00,
2457065.500000000, A.D. 2015-Feb-12 00:00:00.0000,  2.258527508141605E+08,  2.387639961816901E+07,  3.825040977560712E+07, -7.656357404320588E+00,  2.200014084594657E+01,  1.164154262530974E+00,  7.682310712224253E+02,  2.303098811537439E+08, -5.034069068580522E+00,
2457066.500000000, A.D. 2015-Feb-13 00:00:00.0000,  2.251820753083861E+08,  2.577621579004119E+07,  3.834943734558765E+07, -7.868634405570136E+00,  2.197676517636350E+01,  1.128100917599433E+00,  7.667771558341782E+02,  2.298740082857773E+08, -5.055532623908086E+00,
2457067.500000000, A.D. 2015-Feb-14 00:00:00.0000,  2.244930343750682E+08,  2.767392902502575E+07,  3.844533702157509E+07, -8.081481319488489E+00,  2.195145840270680E+01,  1.091749219847061E+00,  7.653170964279595E+02,  2.294362934875610E+08, -5.076705509053105E+00,
2457068.500000000, A.D. 2015-Feb-15 00:00:00.0000,  2.237855792251128E+08,  2.956937160509852E+07,  3.853808300326651E+07, -8.294887640791567E+00,  2.192420034059979E+01,  1.055098651355308E+00,  7.638509774993179E+02,  2.289967620902232E+08, -5.097582682952789E+00,
